k_apt_id,apt_id
A10026023,4347
A15805403,3951
A15870101,4169
A15870101,4201
A15805111,4117
A10027708,92
A11081302,46
A10025710,149
A11081503,9
A11081503,56
A13184804,1376
A13184804,1435
A13185508,1372
A13114103,1494
A13185502,1371
A13185507,1374
A13114106,1480
A13114002,1436
A13114201,1434
A13177501,1503
A13176801,1433
A10025855,1585
A10025855,1633
A13184609,1368
A13185501,1481
A13184610,1370
A13184610,1477
A13185402,1430
A10026849,168
A15009201,5985
A15083404,6042
A15083601,6160
A15076801,6124
A15083602,6071
A15083603,6072
A15009402,5987
A15009401,6106
A15009503,5989
A15009501,6045
A10026197,6171
A15009505,6044
A15009502,5988
A15009504,5990
A15009603,5992
A15009607,5991
A15009601,5994
A15009605,6046
A15009602,5996
A15009606,5995
A14010001,402
A10027901,455
A14010003,403
A14010002,363
A13820004,8450
A13882402,8447
A13820006,8531
A13820005,8449
A13820001,8441
A13820007,8442
A13820002,8532
A13882401,8448
A13820201,8440
A14272307,1869
A14210002,1867
A14272309,1918
A14281701,1866
A14277601,1892
A14272308,1931
A14272308,1978
A14272314,1927
A14282301,1914
A14272310,1888
A14272304,1868
A14272313,1926
A14280502,1908
A14272306,1889
A10025241,1956
A10026947,1950
A14272303,1887
A14272305,1960
A13780201,7061
A13776301,7188
A10026015,7496
A10026015,7634
A13776509,6893
A13776509,7109
A13780402,6899
A13770105,6896
A13780403,6886
A10026051,6903
A10026051,7350
A13704101,6902
A13704404,6894
A10027205,6907
A10027205,7289
A10027205,7327
A13776508,6898
A13776510,6908
A13776510,7216
A13704104,7111
A13704901,7215
A13706302,7045
A13785008,6803
A13782803,7084
A13783001,7311
A10025927,7494
A10025927,7631
A13785005,6797
A10027016,7230
A13784401,6959
A13782902,6807
A13782602,6786
A13785001,6788
A13785001,6999
A13770801,6951
A13782601,7200
A13782804,6792
A13785302,6798
A13785301,6998
A13706001,7086
A13771001,7196
A13783802,6819
A13785203,6789
A13785201,6787
A13784102,7308
A13784907,6791
A13771601,7136
A13785004,6785
A13706303,6799
A13883601,8452
A13805001,8459
A13805002,8454
A13805002,8457
A13805002,8461
A13883602,8460
A13285305,2024
A10024822,2195
A13202308,2233
A13202102,2134
A13202102,2241
A13285401,2100
A13202103,2095
A13272101,2028
A13202002,2023
A13285406,2131
A13285404,2099
A13202306,2018
A13276417,2016
A13272102,2192
A13276414,2161
A13283611,2022
A13285507,2183
A13202304,2091
A13202304,2185
A13202312,2019
A13202312,2193
A13202302,2033
A13202302,2196
A13285601,2092
A13285503,2089
A13283405,2129
A13276415,2021
A13276416,2034
A13282510,2026
A15785608,4583
A15778101,4521
A15722304,4586
A15785601,4723
A15785613,4514
A15722001,4518
A15722004,4668
A15722203,4754
A15785507,4524
A15722108,4512
A15785710,4516
A15785710,4528
A15785709,4532
A15785711,4513
A15785703,4821
A15722307,4509
A15784601,4526
A15785002,4587
A15722201,4519
A15722003,4515
A15722007,4507
A15773501,4523
A15773501,4531
A15722005,4525
A15722104,4506
A15722306,4510
A15722106,4530
A15722102,4667
A15777501,4520
A15722204,4511
A14270301,1933
A14206001,1910
A14206301,1898
A14286108,1877
A14206303,1915
A14206202,1871
A14206002,1894
A14206201,1873
A14206305,1896
A14206305,1963
A14206302,1872
A14206306,1895
A14206003,1875
A14286104,1874
A14206307,1876
A14082601,337
A14082302,336
A13677401,1795
A13608301,1670
A10027189,1811
A13608601,1669
A15606007,6359
A15606005,6231
A15606001,6234
A15606003,6316
A15606004,6230
A15605102,6232
A15105005,6527
A15176602,6518
A15176202,6473
A10024638,6487
A15105303,6468
A15105603,6466
A15180701,6481
A15105002,6532
A15106901,6469
A15180705,6467
A15180705,6471
A15105006,6485
A15106001,6535
A15178202,6523
A15192201,6486
A15178201,6483
A15106103,6522
A15106101,6600
A15181602,6772
A10025423,6779
A15184101,6586
A15105008,6649
A12013002,3321
A12013202,3226
A12013202,3260
A12013001,3305
A12013003,3348
A12081602,3262
A12081703,3227
A12081703,3445
A12013101,3328
A12013201,3291
A10026370,3392
A10027851,3372
A12079501,3199
A12204004,2873
A12204001,2670
A12204002,2727
A12204102,2639
A12204003,2841
A12204006,2989
A12204006,3083
A12284701,2668
A12275201,2876
A12285703,2638
A12275202,2875
A13381701,611
A15609401,6320
A15677204,6245
A15609006,6251
A15681503,6243
A15609001,6372
A15677501,6363
A15609003,6339
A15609501,6244
A15681802,6247
A15681802,6255
A15609005,6241
A15609306,6240
A15609007,6393
A15609301,6249
A15609305,6250
A10024811,6322
A15609002,6341
A10025013,6437
A15609303,6252
A11005401,39
A14004001,297
A14076401,552
A14004002,296
A13672102,1766
A13672101,1754
A13670801,1787
A13604401,1665
A10024819,7864
A13570501,7947
A10026350,7908
A10026350,8271
A13509010,7952
A13509006,7720
A13509005,7911
A13509003,7717
A13586602,7713
A13509101,7725
A13509009,7863
A13587603,7726
A13509007,7712
A13509001,7721
A13509004,7718
A13509012,7948
A13550701,7711
A13920202,2353
A13920207,2364
A13920205,2503
A13982103,2438
A13982101,2444
A13921003,2548
A13920209,2354
A13921005,2324
A13920804,2329
A13920804,2371
A13982701,2495
A13920707,2316
A13974101,2518
A13974102,2519
A13981402,2330
A13981208,2327
A13980903,2538
A13971501,2334
A13971501,2443
A13971501,2489
A13989701,2370
A13981405,2344
