k-아파트코드,k-아파트명,"k-단지분류(아파트,주상복합등등)",주소(시군구),주소(읍면동),나머지주소,주소(도로명),주소(도로상세주소),k-세대타입(분양형태),k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사(시공사),k-시행사,k-사용검사일-사용승인일,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과
A12104001,도화현대,아파트,마포구,도화동,547번지,새창로6다길,22,분양,혼합식,개별난방,2,196,현대건설,소양재건축조합,1998-09-24 00:00:00.0,98,52,46,0
A12104005,마포삼성,아파트,마포구,도화동,삼성아파트,도화길,28,분양,계단식,중앙난방,14,982,삼성건설,삼성건설,1997-05-16 00:00:00.0,0,680,64,0
A12104007,마포도화우성,아파트,마포구,도화동,81,삼개로,38,분양,혼합식,중앙난방,15,1222,우성건설,도화3지구재개발지구,1991-03-20 00:00:00.0,68,604,270,0
A12105001,마포쌍용황금,아파트,마포구,마포동,253,마포대로4라길,30,분양,혼합식,개별난방,6,339,쌍용,쌍용,2000-08-07 00:00:00.0,158,98,83,0
A12106001,토정한강삼성,아파트,마포구,토정동,한강삼성아파트,토정로32길,11,분양,계단식,지역난방,3,456,삼성물산(주)건설부분,국민연금관리공단제3직장조합외 9개조합,1997-10-31 00:00:00.0,237,219,0,0
A12109001,마포자이,아파트,마포구,염리동,521,독막로42길,2,분양,계단식,지역난방,10,534,GS건설(주),진주아파트 재건축조합,2003-12-05 00:00:00.0,0,228,166,0
A12109002,염리삼성래미안,아파트,마포구,염리동,520번지,숭문길,58,분양,혼합식,개별난방,9,574,(주)삼성물산,염리동재개발조합,2001-03-28 00:00:00.0,236,221,117,0
A12111001,마포경남아너스빌,아파트,마포구,신수동,456 번지,신수로,81,분양,계단식,개별난방,2,160,경남기업(주),청옥산업개발(주),2007-05-17 00:00:00.0,0,160,0,0
A12112001,밤섬현대,아파트,마포구,현석동,220,신수로3길,19,분양,복도식,개별난방,2,219,현대건설,경남빌라 제건축조합,1999-07-26 00:00:00.0,127,48,44,0
A12112002,마포강변힐스테이트,아파트,마포구,현석동,222,신수로,15,분양,혼합식,개별난방,10,510,현대건설(주),현석구역재개발조합,2004-02-16 00:00:00.0,204,206,100,0
A12114001,서강GS,아파트,마포구,신정동,30,창전로,26,분양,혼합식,개별난방,6,538,GS건설,GS건설,1999-07-01 00:00:00.0,226,178,134,0
A12115001,한강밤섬자이아파트,아파트,마포구,하중동,101번지,토정로,158,분양,계단식,지역난방,7,488,지에스건설주식회사,서강주택재건축정비사업조합,2010-02-26 00:00:00.0,0,75,184,0
A12119004,서강해모로,아파트,마포구,창전동,443,토정로,167,분양,계단식,개별난방,8,447,한진중공업,한진중공업,2007-12-12 00:00:00.0,103,344,0,0
A12119006,서강쌍용예가,아파트,마포구,창전동,444,독막로,145,분양,계단식,개별난방,15,635,쌍용건설,쌍용건설,2007-11-01 00:00:00.0,155,408,72,0
A12119007,창전삼성,아파트,마포구,창전동,437,서강로,95,분양,계단식,개별난방,9,640,삼성물산(주)건설부분,창전구역주택개량재개발조합,1998-06-24 00:00:00.0,176,276,188,0
A12123001,망원휴먼빌,아파트,마포구,망원동,509,방울내로,31,분양,계단식,개별난방,2,210,일신건영(주),망원연립재건축주택조함일신건영(주),2004-07-30 00:00:00.0,150,60,0,0
A12125001,성산2차e-편한세상,아파트,마포구,성산동,604번지,월드컵북로,216,분양,계단식,지역난방,3,189,대림산업,대림산업,2005-07-26 00:00:00.0,38,151,0,0
A12125202,성산월드타운대림,아파트,마포구,성산동,601,월드컵북로30길,9-22,분양,혼합식,지역난방,10,795,대림산업,대림산업,2004-08-24 00:00:00.0,73,566,152,0
