k-아파트코드,k-아파트명,"k-단지분류(아파트,주상복합등등)",주소(시군구),주소(읍면동),나머지주소,주소(도로명),주소(도로상세주소),k-세대타입(분양형태),k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사(시공사),k-시행사,k-사용검사일-사용승인일,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과
A13606005,동소문한진,아파트,성북구,돈암동,609-1,성북로4길,52,임대,복도식,기타,1,580,한진,한신공영,1998-07-01 00:00:00.0,580,0,0,0
A13606101,돈암풍림,아파트,성북구,돈암동,,북악산로,913,분양,혼합식,개별난방,5,460,풍림건설(주),주택관리조합,1999-05-11 00:00:00.0,84,243,133,0
A13606102,돈암범양,아파트,성북구,돈암동,631번지,정릉로,402-16,분양,혼합식,개별난방,5,499,범양건영(주),범양재건축조합,1998-12-09 00:00:00.0,202,179,118,0
A13606105,돈암풍림임대,아파트,성북구,돈암동,632-1,북악산로,898,임대,복도식,개별난방,1,309,풍림산업(주),SH공사,1999-05-11 00:00:00.0,309,0,0,0
A13606106,돈암삼성임대,아파트,성북구,돈암동,15-2번지,동소문로34길,24,임대,복도식,개별난방,2,736,삼성물산(주),삼성물산(주),1999-04-30 00:00:00.0,736,0,0,0
A13606107,돈암삼성,아파트,성북구,돈암동,15-1.,동소문로34길,24,분양,혼합식,개별난방,7,1278,삼성물산,돈암3-2지구 재개발조합,1999-04-30 00:00:00.0,298,585,395,0
A13606201,브라운스톤 돈암,아파트,성북구,돈암동,636,북악산로,844,분양,계단식,개별난방,16,1074,이수건설주식회사,정릉돈암 재건축조합,2004-12-18 00:00:00.0,514,482,78,0
A13607301,안암삼익,아파트,성북구,안암동3가,135번지,안암로9길,30,분양,계단식,개별난방,3,204,삼익건설,삼익주택,1983-06-14 00:00:00.0,0,0,108,0
A13607302,안암대광,아파트,성북구,안암동3가,대광아파트,안암로9나길,14,분양,계단식,개별난방,7,346,오진개발,오진개발,1971-12-09 00:00:00.0,288,57,1,0
A13608301,보문아이파크,아파트,성북구,보문동3가,보문아이파크,지봉로21길,19,분양,혼합식,개별난방,8,431,현대산업개발,재개발조합,2003-08-30 00:00:00.0,176,195,60,0
A13608601,보문아남,아파트,성북구,보문동6가,441번지,보문사길,112,분양,계단식,개별난방,3,218,아남건설,호웅건설,1994-10-10 00:00:00.0,0,218,0,0
A13609001,종암우림카이저팰리스,주상복합,성북구,종암동,132번지,종암로,132,분양,계단식,개별난방,2,161,우림건설,종암시장 재건축조합,2008-05-01 00:00:00.0,0,161,0,0
A13610001,정릉우방아파트,아파트,성북구,정릉동,,북악산로,746,분양,혼합식,개별난방,1,196,우방건설,우방건설,1999-07-28 00:00:00.0,84,95,17,0
A13610003,정릉힐스테이트1차아파트,아파트,성북구,정릉동,1030번지,북악산로,831,분양,계단식,개별난방,3,222,현대건설,프리모,2007-05-18 00:00:00.0,0,222,0,0
A13610004,정릉산장,아파트,성북구,정릉동,780,보국문로,167,분양,복도식,개별난방,2,264,광산건설,광산건설,1977-12-29 00:00:00.0,220,44,0,0
A13610005,정릉힐스테이트3차,아파트,성북구,정릉동,1031번지 정릉힐스테이트3차 아파트,보국문로,116,분양,계단식,개별난방,19,522,현대힐스테이트,현대힐스테이트,2008-06-09 00:00:00.0,222,200,100,0
A13610007,정릉풍림아이원,아파트,성북구,정릉동,서울 성북구 정릉4동 239번지,솔샘로25길,28,분양,혼합식,개별난방,28,1971,정릉제4구역재개발조합 ,풍림산업,2005-12-28 00:00:00.0,827,688,456,0
A13610102,길음뉴타운10단지,아파트,성북구,정릉동,1034,정릉로,307,임대+분양,계단식,개별난방,3,236,라온건설,정릉1동제일주택재건축정비사업조합,2008-10-08 00:00:00.0,0,184,52,0
A13610103,정릉힐스테이트,아파트,성북구,정릉동,정릉힐스테이트,정릉로,292,분양,계단식,개별난방,7,355,현대건설,현대건설,2004-12-23 00:00:00.0,41,314,0,0
A13610107,정릉경남,아파트,성북구,정릉동,,정릉로,305,분양,혼합식,개별난방,8,860,경남기업(주),정릉A지구 재건축조합,1999-06-19 00:00:00.0,398,270,192,0
A13610201,정릉2차대주피오레,아파트,성북구,정릉동,1032,아리랑로19길,86,분양,계단식,개별난방,4,169,대주건설,대한주택보증,2008-05-30 00:00:00.0,37,132,0,0
A13610202,정릉푸르지오,아파트,성북구,정릉동,406,보국문로,19,분양,계단식,개별난방,7,403,대우건설,정릉제2구역주택재개발조합,2005-11-28 00:00:00.0,180,148,75,0
A13610301,정릉성원,아파트,성북구,정릉동,1019번지,정릉로21길,21,분양,혼합식,개별난방,2,271,성원건설,성원,2000-01-17 00:00:00.0,126,109,36,0
A13611001,길음뉴타운4단지임대,아파트,성북구,길음동,1281-1번지,길음로,118,임대,복도식,개별난방,1,276,대림산업(주),sh공사,2005-04-20 00:00:00.0,276,0,0,0
A13611002,길음동부제2,아파트,성북구,길음동,1278-1,숭인로2길,61,임대,복도식,개별난방,2,300,동부건설,SH공사,2003-03-31 00:00:00.0,300,0,0,0
A13611004,길음삼부,아파트,성북구,길음동,,동소문로,248,분양,혼합식,개별난방,6,684,삼부토건,돈암 제 2-1 구역 재개발 조합,1998-02-02 00:00:00.0,363,150,171,0
A13611005,길음래미안3차,아파트,성북구,길음동,1283번지,길음로,16,분양,계단식,개별난방,12,977,삼성물산,길음6구역 재개발 조합,2007-07-24 00:00:00.0,299,492,186,0
A13611006,길음뉴타운대림4단지,아파트,성북구,길음동,관리동 3층,길음로,118,분양,혼합식,개별난방,25,1605,대림산업,길음4구역 재개발,2005-04-20 00:00:00.0,497,792,316,0
A13611007,길음뉴타운푸르지오아파트23단지,아파트,성북구,길음동,1280,길음로,119,분양,혼합식,개별난방,34,2068,(주)대우건설,길음2구역 주택재개발조합,2005-04-20 00:00:00.0,488,1150,394,0
A13611008,길음뉴타운8단지,아파트,성북구,길음동,길음뉴타운8단지,길음로,33,분양,계단식,개별난방,24,1497,삼성물산 주식회사,길음8구역주택재개발정비사업조합,2010-06-30 00:00:00.0,541,711,245,0
A13611010,길음뉴타운8단지제2,아파트,성북구,길음동,1285-9번지,길음로,33,임대,복도식,개별난방,1,120,삼성물산,삼성물산,2010-06-30 00:00:00.0,120,0,0,0
A13611011,길음뉴타운래미안9단지,아파트,성북구,길음동,1286,길음로9길,50,분양,계단식,개별난방,15,1012,재개발조합,삼성물산,2010-09-30 00:00:00.0,278,484,250,0
A13611102,길음뉴타운3단지임대,아파트,성북구,길음동,1280-3번지,길음로13길,39,임대,복도식,개별난방,2,282,대우건설(주),sh공사,2005-04-20 00:00:00.0,282,0,0,0
A13611103,래미안길음1차,아파트,성북구,길음동,1279,길음로9길,40,분양,계단식,개별난방,15,1125,삼성물산,길음1구역 재개발주택조합,2003-01-29 00:00:00.0,452,449,224,0
A13611201,길음래미안2차,아파트,성북구,길음동,(길음동. 길음뉴타운) 래미안길음2차아파트,길음로,74,분양,계단식,개별난방,11,560,삼성물산,삼성물산,2006-06-23 00:00:00.0,201,252,107,0
A13611202,길음동부센트레빌,아파트,성북구,길음동,길음동부센트레빌아파트,숭인로2길,61,분양,계단식,개별난방,18,1377,동부건설(주),길음3구역재개발주택조합,2003-03-31 00:00:00.0,373,671,333,0
A13612001,상월곡우남,아파트,성북구,상월곡동,55-56,화랑로15길,4,분양,계단식,개별난방,2,225,우남주택,우남주택,1994-12-24 00:00:00.0,95,74,32,0
A13612002,성북동아에코빌,아파트,성북구,상월곡동,(상월곡동) 성북동아에코빌아파트(분양),장월로1길,28,분양,혼합식,개별난방,15,1253,(주)동아건설,상월곡재개발조합,2003-06-27 00:00:00.0,511,436,306,0
A13613001,하월곡아남,아파트,성북구,하월곡동,,종암로36길,52,분양,계단식,개별난방,1,198,아남건설,하월곡동 지역조합,1996-12-03 00:00:00.0,59,139,0,0
A13613002,월곡2SHville임대,아파트,성북구,하월곡동,226-1,회기로5길,142,영구임대,복도식,개별난방,1,209,성원건설,sh공사,2008-10-16 00:00:00.0,209,0,0,0
A13613003,월곡3SH-vill,아파트,성북구,하월곡동,225-1,오패산로,90,임대,복도식,개별난방,1,288,,,2008-06-25 00:00:00.0,288,0,0,0
A13613004,성북힐스테이트,주상복합,성북구,하월곡동,성북힐스테이트아파트,동소문로44길,43,분양,계단식,개별난방,2,285,아키데코,현대건설,2007-08-30 00:00:00.0,0,200,85,0
A13613005,하월곡동신,아파트,성북구,하월곡동,219,오패산로3길,17,분양,혼합식,개별난방,5,746,조합,동신건설,1998-07-01 00:00:00.0,380,283,83,0
A13613006,월곡래미안루나밸리,아파트,성북구,하월곡동,,월곡로14길,26,분양,계단식,개별난방,11,787,삼성물산,월곡2구역주택재개발정비사업조합,2007-10-23 00:00:00.0,272,316,199,0
A13613007,래미안월곡,아파트,성북구,하월곡동,225번지,오패산로,90,분양,계단식,개별난방,26,1372,삼성물산(주)건설부문,삼성물산(주),2006-07-19 00:00:00.0,378,796,198,0
A13613008,월곡두산위브아파트,아파트,성북구,하월곡동,222번지 월곡두산위브아파트관리사무소,오패산로,46,분양,계단식,개별난방,30,2197,두산건설,월곡구역 주택 재개발조합,2003-04-30 00:00:00.0,624,1060,513,0
A13613009,꿈의숲푸르지오,아파트,성북구,하월곡동,228번지,오패산로16가길,40,분양,계단식,개별난방,15,714,(주)대우건설,월곡제1구역 주택재개발정비조합,2010-04-29 00:00:00.0,490,174,50,0
A13613010,월곡두산제2아파트임대,아파트,성북구,하월곡동,222-1,오패산로,46,임대,복도식,개별난방,4,458,두산건설,SH공사,2003-04-30 00:00:00.0,458,0,0,0
A13613011,동일하이빌뉴시티,주상복합,성북구,하월곡동,동일하이빌뉴시티,종암로,167,분양,계단식,개별난방,4,440,동일토건,생보부동산신탁,2011-11-30 00:00:00.0,0,27,307,0
A13613012,길음서희스타힐스,주상복합,성북구,하월곡동,229,동소문로,284,분양,혼합식,개별난방,1,198,서희건설,미아시장재건축정비사업조합,2011-06-24 00:00:00.0,0,198,0,0
A13613201,하월곡샹그레빌,아파트,성북구,하월곡동,224,회기로5길,100,분양,계단식,개별난방,4,352,삼호,도시개발공사,2004-07-07 00:00:00.0,0,352,0,0
A13614001,꿈의숲대명루첸,아파트,성북구,장위동,꿈의숲대명루첸아파트,월계로36길,27,분양,계단식,개별난방,9,611,대명종합건설,대명수안,2008-12-26 00:00:00.0,124,348,139,0
A13614301,장월SH-VILLE1단지,아파트,성북구,장위동,316-2,한천로101길,54,,혼합식,개별난방,3,254,울트라,sh공사,2006-04-18 00:00:00.0,254,0,0,0
A13614302,장위참누리,아파트,성북구,장위동,316-5,한천로101길,18,분양,계단식,개별난방,7,373,울트라건설,sh공사,2006-04-18 00:00:00.0,69,304,0,0
A13615002,석관코오롱,아파트,성북구,석관동,,한천로,509,분양,혼합식,개별난방,6,453,코오롱건설,석관동A지구재건축조합,1999-06-12 00:00:00.0,182,158,113,0
A13615003,석관두산,아파트,성북구,석관동,10번지,화랑로48길,16,분양,혼합식,개별난방,25,1998,두산건설,두산건설,1998-04-18 00:00:00.0,824,828,296,0
A13670801,삼선SKView,아파트,성북구,삼선동3가,,삼선교로16길,35,분양,계단식,개별난방,7,430,SK건설,삼선1구역주택재건축조합,2012-04-30 00:00:00.0,88,228,109,0
A13671203,종암선경아파트,아파트,성북구,종암동,34-3,종암로5길,26,분양,혼합식,개별난방,2,238,선경건설,-,1996-09-19 00:00:00.0,86,152,0,0
A13671204,종암2차아이파크,아파트,성북구,종암동,131,종암로9길,71,분양,계단식,개별난방,15,782,현대산업개발(주),현대산업개발(주),2005-09-30 00:00:00.0,255,419,108,0
A13671205,종암SK,아파트,성북구,종암동,SK아파트,종암로24가길,53,분양,혼합식,중앙난방,6,1318,SK건설,종암구역주택개량재개발,1999-04-07 00:00:00.0,438,524,356,0
A13671206,종암아이파크1차,아파트,성북구,종암동,종암아이파크1차아파트,종암로21길,127,분양,계단식,개별난방,7,513,현대산업개발,종암1동재개발조합,2004-09-24 00:00:00.0,217,220,76,0
A13671207,종암극동아파트,아파트,성북구,종암동,극동아파트,북악산로29길,67,분양,혼합식,개별난방,2,297,극동건설,극동건설,2000-12-07 00:00:00.0,137,106,54,0
A13671208,래미안세레니티,아파트,성북구,종암동,종암동 래미안세레니티,종암로23길,35,분양,계단식,개별난방,14,955,삼성물산 건설부문,종암4,2009-10-29 00:00:00.0,345,446,164,0
A13671209,래미안라센트,아파트,성북구,종암동,라센트아파트관리사무소,종암로24가길,80,분양,계단식,개별난방,10,837,삼성물산(주),종암5구역 재개발 조합,2011-01-31 00:00:00.0,224,431,182,0
A13671210,종암SK제2,아파트,성북구,종암동,,종암로24가길,53,임대,복도식,개별난방,1,465,선경건설,선경건설,1999-04-07 00:00:00.0,465,0,0,0
A13671211,래미안종암3차,아파트,성북구,종암동,134-1,종암로23길,35,임대,복도식,개별난방,2,188,삼성물산(주),삼성물산(주),2011-01-31 00:00:00.0,188,0,0,0
A13671212,래미안종암2차,아파트,성북구,종암동,133-1,종암로23길,35,임대,복도식,개별난방,2,206,삼성물산(주),삼성물산(주),2009-10-29 00:00:00.0,206,0,0,0
A13671213,종암2차SK뷰,아파트,성북구,종암동,종암2차SK뷰아파트,종암로24길,35,임대+분양,계단식,개별난방,6,393,SK건설,종암6구역주택재개발정비사업조합,2010-10-29 00:00:00.0,183,134,76,0
A13672101,삼선푸르지오아파트,아파트,성북구,삼선동2가,425번지,보문로29다길,31,분양,계단식,개별난방,22,864,대우건설(주),조합아파트,2008-03-27 00:00:00.0,180,486,198,0
A13672102,삼선힐스테이트,아파트,성북구,삼선동2가,420번지,낙산길,243-15,분양,계단식,개별난방,9,377,현대건설(주),현대건설(주),2009-12-01 00:00:00.0,152,161,64,0
A13676101,래미안석관,아파트,성북구,석관동,407번지 (화랑로 214),화랑로,214,분양,계단식,개별난방,13,580,삼성물산,석관제1구역주택재개발조합,2009-06-26 00:00:00.0,211,257,112,0
A13676103,신동아파밀리에,아파트,성북구,석관동,석관동 신동아 파밀리에,화랑로,210-26,분양,계단식,개별난방,5,199,신동아건설,석관제3구역,2011-01-28 00:00:00.0,34,128,37,0
A13676501,정릉쌍용,아파트,성북구,정릉동,정릉쌍용아파트,북악산로,847,분양,혼합식,개별난방,2,193,쌍용건설,쌍용건설,1999-11-13 00:00:00.0,126,19,48,0
A13676504,정릉스카이쌍용,아파트,성북구,정릉동,1014번지,북악산로,828,분양,혼합식,개별난방,3,406,쌍용건설,정릉스카이 재건축 조합,1999-02-12 00:00:00.0,210,116,80,0
A13676605,정릉태영,아파트,성북구,정릉동,1018,서경로,28,분양,혼합식,개별난방,6,514,(주)태영,숭덕재건축조합,1999-11-22 00:00:00.0,286,113,115,0
A13676702,정릉대우,아파트,성북구,정릉동,,보국문로30길,15,분양,혼합식,개별난방,7,791,(주)대우,선덕아파트 재건축조합외 7개 조합,2001-06-21 00:00:00.0,481,198,112,0
A13676703,정릉1차e-편한세상,아파트,성북구,정릉동,1028번지,솔샘로24길,15,분양,계단식,개별난방,11,739,대림건설,정릉5구역재건축조합,2006-06-02 00:00:00.0,314,305,120,0
A13677101,정릉2차 e편한세상,아파트,성북구,정릉동,1035번지,북악산로,851,분양,계단식,개별난방,10,527,대림산업,대림산업,2009-06-08 00:00:00.0,218,214,95,0
A13677206,정릉우성,아파트,성북구,정릉동,정릉우성아파트,북악산로,813,분양,혼합식,개별난방,5,823,우성건설,한국데이타통신(주)제3직장주택조합외 11개조합,2000-02-12 00:00:00.0,187,599,37,0
A13677401,이편한세상보문,아파트,성북구,보문동3가,255 이편한세상보문,낙산길,255,임대+분양,계단식,개별난방,7,440,대림산업(주),보문4구역정비사업조합,2013-12-24 00:00:00.0,93,259,88,0
A13677807,정릉우정에쉐르,아파트,성북구,정릉동,성북구 정릉2동 1033번지,북악산로,742-12,분양,계단식,개별난방,3,212,(주)우정건설,정릉북악재건축조합,2009-04-16 00:00:00.0,32,163,17,0
A13678401,동아에코빌,아파트,성북구,상월곡동,101-1,장월로1길,28,임대,복도식,개별난방,2,278,동아건설산업(주),sh공사,2003-06-27 00:00:00.0,278,0,0,0
A13679402,길음뉴타운9단지제2,아파트,성북구,길음동,1286-7,길음로9길,50,임대,계단식,개별난방,3,242,삼성물산,삼성물산,2010-09-30 00:00:00.0,242,0,0,0
A13679403,길음뉴타운7단지,아파트,성북구,길음동,1285번지 길음뉴타운7단지 두산위브,길음로13길,22,분양,계단식,개별난방,6,449,두산건설,길음뉴타운,2010-07-28 00:00:00.0,131,228,90,0
A13679902,돈암힐스테이트,아파트,성북구,돈암동,639,아리랑로,68,분양,계단식,개별난방,6,200,현대건설(주),돈암제1구역주택재개발조합,2007-04-18 00:00:00.0,88,72,40,0
A13679903,돈암신일해피트리,아파트,성북구,돈암동,642번지,아리랑로5길,92,분양,계단식,개별난방,6,192,신화종합건설,한국토지신탁,2013-01-15 00:00:00.0,0,96,63,0
A13680701,길음신안파크,아파트,성북구,길음동,635-168,길음로,141,분양,계단식,개별난방,3,252,(주)신안건설산업,(주)신안건설산업,1988-11-26 00:00:00.0,0,252,0,0
A13681303,돈암동부센트레빌,아파트,성북구,돈암동,633,정릉로,388,분양,계단식,개별난방,9,540,동부건설(주),동부건설(주),2003-09-18 00:00:00.0,0,398,142,0
A13681304,돈암현대,아파트,성북구,돈암동,현대아파트,정릉로,404,분양,혼합식,개별난방,6,619,현대산업개발,주택개량재개발조함,1991-06-13 00:00:00.0,284,335,0,0
A13681701,석관중앙하이츠,아파트,성북구,석관동,,한천로76길,73,분양,혼합식,개별난방,3,315,중앙건설,중앙건설,1994-06-24 00:00:00.0,165,150,0,0
A13684306,정릉중앙하이츠빌2단지,아파트,성북구,정릉동,정릉중앙하이츠빌2단지아파트,정릉로26길,8,분양,혼합식,개별난방,9,745,중앙건설,정릉463재건축조합 외,2005-11-16 00:00:00.0,128,573,44,0
A13684605,정릉푸른마을동아,아파트,성북구,정릉동,푸른마을 동아아파트,서경로,31,분양,혼합식,개별난방,7,529,(주)동아건설산업,(주)동아건설산업,2003-10-04 00:00:00.0,150,320,59,0
A13684701,정릉중앙하이츠,아파트,성북구,정릉동,정릉중앙하이츠아파트,보국문로32길,53,분양,혼합식,개별난방,4,261,중앙건설(주),정릉주공재건축아파트조합,1999-05-14 00:00:00.0,135,90,36,0
A13685104,정릉중앙하이츠빌1단지,아파트,성북구,정릉동,494번지,아리랑로19길,60,분양,계단식,개별난방,7,433,(주)중앙건설,계성제지그룹직장조합외5개조합(주)중앙건설,2004-04-30 00:00:00.0,101,332,0,0
A13686302,종암삼성래미안,아파트,성북구,종암동,80번지,종암로25길,30,분양,계단식,개별난방,17,1168,삼성물산,종암2구역 주택재개발사업,2004-09-24 00:00:00.0,469,473,226,0
A13703011,잠원롯데캐슬갤럭시1차,아파트,서초구,잠원동,50,잠원로14길,3,분양,계단식,지역난방,5,256,(주)롯데건설,(주)롯데건설,2002-07-27 00:00:00.0,0,0,250,0
A13703019,롯데캐슬갤럭시2차,아파트,서초구,잠원동,50-1 2차,잠원로14길,23,분양,계단식,지역난방,8,428,롯데건설(주),롯데건설(주),2004-04-28 00:00:00.0,0,0,343,0
A13703027,잠원동아,아파트,서초구,잠원동,157번지,신반포로33길,15,분양,혼합식,개별난방,8,991,동아건설,잠원연립주택조합,2002-07-04 00:00:00.0,301,690,0,0
A13704101,반포삼호가든맨션5차,아파트,서초구,반포동,30-1,서초중앙로,242,분양,혼합식,지역난방,3,168,삼호,삼호,1986-02-21 00:00:00.0,0,0,42,0
A13704104,반포자이,아파트,서초구,반포동,20-1.,신반포로,270,임대+분양,계단식,지역난방,44,3410,GS건설,반포주공3단지재건축주택정비사업조합,2009-03-13 00:00:00.0,683,1363,340,0
A13704404,반포미도아파트,아파트,서초구,반포동,,서초중앙로29길,28,분양,복도식,지역난방,8,1260,한보건설,한국상업은행 주택조합,1987-06-17 00:00:00.0,0,1260,0,0
A13704901,반포본동아파트,아파트,서초구,반포동,1127,신반포로3길,14,분양,계단식,지역난방,100,3610,대한주택공사,대한주택공사,1973-01-25 00:00:00.0,0,1490,1340,0
A13706001,방배아크로리버,주상복합,서초구,방배동,서울 서초구 방배중앙로 207-10,방배중앙로,207-10,분양,계단식,개별난방,4,222,대림산업(주),CIT산업개발(주),2004-11-24 00:00:00.0,0,24,56,0
A13706002,방배SH-VILLE,아파트,서초구,방배동,2626-3,과천대로,908,임대,복도식,개별난방,1,81,울트라건설,울트라건설,2005-08-11 00:00:00.0,81,0,0,0
A13706302,방배래미안타워,아파트,서초구,방배동,485-3.4,남부순환로,2183,분양,혼합식,개별난방,4,344,삼성물산,개나리아파트 주택조합,2005-01-07 00:00:00.0,0,0,344,0
A13706303,방배대우효령,아파트,서초구,방배동,1038,효령로,84,분양,계단식,개별난방,6,364,대우종합건설,대우건설,1992-11-25 00:00:00.0,0,364,0,0
A13707002,아남,아파트,서초구,서초동,1641-13,사임당로23길,53,분양,혼합식,지역난방,2,166,아남건설주식회사,아남건설주식회사,1989-11-30 00:00:00.0,0,166,0,0
A13707003,서초대우아이빌,주상복합,서초구,서초동,1675-11번지,서초대로58길,10,분양,복도식,개별난방,1,215,대우건설,(주)리얼티투자개발,2003-03-13 00:00:00.0,203,12,0,0
A13707006,대림서초리시온,아파트,서초구,서초동,1671-5,서초중앙로22길,25,분양,복도식,개별난방,1,293,대림산업주식회사,주식회사 루튼,2003-04-22 00:00:00.0,286,7,0,0
A13707009,래미안 서초스위트 아파트,아파트,서초구,서초동,래미안서초스위트아파트,서운로,221,임대+분양,계단식,지역난방,3,392,(주)삼성물산,삼호2차재건축조합,2009-04-30 00:00:00.0,84,159,149,0
A13707010,래미안서초유니빌,주상복합,서초구,서초동,래미안서초유니빌,서초중앙로,26,분양,복도식,개별난방,1,440,삼성물산(주),서린상사(주),2003-08-22 00:00:00.0,418,22,0,0
A13707016,서초교대e편한세상,아파트,서초구,서초동,1686-9,서초중앙로24길,33,임대+분양,계단식,지역난방,6,435,대림산업 (주),금호아파트재건축조합,2010-05-06 00:00:00.0,90,177,120,0
A13707203,풍림아이원플러스,주상복합,서초구,서초동,풍림아이원플러스,효령로77길,14,분양,복도식,개별난방,1,200,풍림산업,메트로,2004-04-23 00:00:00.0,200,0,0,0
A13713001,양재리본타워1단지,아파트,서초구,양재동,서울 서초구 바우뫼로18길20(양재동102번지),바우뫼로18길,20,임대,복도식,개별난방,2,231,금호건설,서울특별시 SH공사,2014-06-26 00:00:00.0,154,56,21,0
A13713002,양재리본타워2단지,아파트,서초구,양재동,212,매헌로,16,임대,복도식,개별난방,3,390,금호건설,sh공사,2014-06-26 00:00:00.0,228,114,48,0
A13716001,서초포레스타7단지,아파트,서초구,신원동,관리사무소,청계산로11길,7-12,임대+분양,혼합식,개별난방,10,310,한신공영,SH공사,2013-09-30 00:00:00.0,261,49,0,0
A13716002,서초포레스타5단지,아파트,서초구,신원동,서초구 청계산로 7길43(신원동 346-1),청계산로7길,43,임대+분양,계단식,개별난방,11,547,한신공영,에스에이치공사,2014-05-08 00:00:00.0,206,229,112,0
A13716003,서초포레스타3단지,아파트,서초구,신원동,408번지,헌릉로8길,22,임대+분양,계단식,개별난방,8,482,한신공영(주),SH공사,2014-06-24 00:00:00.0,249,146,87,0
A13718001,서초더샵포레,아파트,서초구,내곡동,서초더샵포레,헌릉로8길,58,임대+분양,계단식,개별난방,26,1264,포스코,에스에치,2014-08-11 00:00:00.0,264,455,545,0
A13770105,반포미도2차,아파트,서초구,반포동,(반포동),사평대로,240,분양,복도식,지역난방,3,435,한보건설,한보건설,1989-05-13 00:00:00.0,60,375,0,0
A13770607,서초5차e편한세상,아파트,서초구,서초동,1467-37,명달로4길,30,분양,계단식,개별난방,2,161,대림건설,디케이건설,2005-12-23 00:00:00.0,0,0,0,0
A13770608,서초현대ESA2차,주상복합,서초구,서초동,현대ESA2아파트,반포대로,122,분양,계단식,중앙난방,2,174,현대건설,SR건설,2003-01-29 00:00:00.0,0,0,0,0
A13770609,현대슈퍼빌,아파트,서초구,서초동,1446-11,서초중앙로,15,분양,계단식,지역난방,4,645,현대건설(주),군인공제회,2003-10-13 00:00:00.0,0,0,0,0
A13770610,서초아트자이,아파트,서초구,서초동,02)583-9105~6,반포대로,58,분양,계단식,개별난방,4,164,GS건설(주),(주)삼종지위드건설,2009-06-26 00:00:00.0,0,0,0,0
A13770611,서초이오빌,주상복합,서초구,서초동,서초이오빌,효령로53길,45,분양,혼합식,기타,1,462,경남기업,서현개발,2003-08-13 00:00:00.0,462,0,0,0
A13770801,방배한신트리플,주상복합,서초구,방배동,816-1,방배로33길,29,분양,혼합식,개별난방,1,163,한신공영,한신공영,2004-02-27 00:00:00.0,144,19,0,0
A13771001,방배롯데캐슬아르떼,아파트,서초구,방배동,424-28,방배천로18길,11,임대+분양,계단식,개별난방,11,744,롯데건설,방배2-6구역 주택재건축 정비사업조합,2013-11-20 00:00:00.0,164,329,103,0
A13771601,방배서리풀e편한세상,아파트,서초구,방배동,방배 서리풀 e-편한세상,효령로33길,50,분양,혼합식,개별난방,9,496,대림산업(주),방배서리풀 재건축조합,2010-08-26 00:00:00.0,101,215,110,0
A13772801,서초현대아파트,아파트,서초구,서초동,1648-2번지,사임당로19길,10,분양,혼합식,지역난방,2,299,고려산업개발(주),고려산업개발(주),1999-11-30 00:00:00.0,120,105,74,0
A13775101,신동아아파트,아파트,서초구,서초동,1334,사임당로,137,분양,혼합식,지역난방,7,997,신동아건설,신동아건설,1978-12-15 00:00:00.0,0,260,601,0
A13775102,서초삼성쉐르빌2,주상복합,서초구,서초동,1330번지,강남대로53길,11,분양,복도식,개별난방,1,365,국민자산신탁(주),삼성중공업(주),2002-03-25 00:00:00.0,313,52,0,0
A13776301,반포리체,아파트,서초구,반포동,30-26,고무래로,35,임대+분양,계단식,지역난방,9,1119,(주)대림/ (주)삼성,삼호가든12차아파트재건축조합,2010-10-29 00:00:00.0,405,450,192,0
A13776508,반포푸르지오,아파트,서초구,반포동,10번지,신반포로15길,4,분양,계단식,개별난방,3,237,(주)대우,반포 대우 직장조합 외 6개 조합,2000-10-30 00:00:00.0,65,172,0,0
A13776509,래미안퍼스티지,아파트,서초구,반포동,래미안퍼스티지아파트,반포대로,275,임대+분양,계단식,지역난방,28,2444,삼성물산,반포주공2단지재건축조합,2009-07-14 00:00:00.0,512,955,130,0
A13776510,반포힐스테이트,아파트,서초구,반포동,반포힐스테이트,신반포로16길,15-20,분양,계단식,지역난방,5,397,(주)현대건설,미주아파트재건축,2012-04-02 00:00:00.0,80,159,0,0
A13778201,서초네이처힐4단지,아파트,서초구,우면동,720,태봉로2길,65,임대+분양,혼합식,개별난방,7,409,SH,진흥기업,2011-12-12 00:00:00.0,232,174,3,0
A13778202,서초네이처힐5단지,아파트,서초구,우면동,730,태봉로2길,5,임대,계단식,개별난방,8,509,태영건설(주),sh공사,2011-12-12 00:00:00.0,256,78,175,0
A13778203,서초네이처힐7단지,아파트,서초구,우면동,735,태봉로2길,10,임대+분양,혼합식,개별난방,5,275,SH공사,태영건설,2011-12-12 00:00:00.0,243,32,0,0
A13778204,서초힐스,아파트,서초구,우면동,773,양재대로2길,90,분양,계단식,개별난방,12,1082,서희건설,한국토지주택공사(LH),2012-12-03 00:00:00.0,332,750,0,0
A13778205,서초네이처힐3단지,아파트,서초구,우면동,서초네이처힐3단지,태봉로2길,60,임대+분양,혼합식,개별난방,17,1251,진흥건설,SH공사,2013-01-18 00:00:00.0,657,442,152,0
A13778207,서초네이처힐6단지,아파트,서초구,우면동,관리사무소,태봉로2길,30,임대+분양,혼합식,기타,7,382,(주)태영건설,SH공사,2013-02-15 00:00:00.0,305,30,47,0
